时间,累计确诊,境外输入,累计治愈,死亡,在医院隔离,尚在观察
6月18日24时,1057,503,1028,3,26,618
6月17日24时,1057,503,1023,3,31,476
6月16日24时,1057,503,1023,3,31,530
6月15日24时,1056,502,1020,3,33,503
6月14日24时,1055,501,1019,3,33,430
6月13日24时,1054,500,1015,3,36,403
6月12日24时,1050,496,1015,3,32,444
6月11日24时,1047,493,1015,3,29,385
6月10日24时,1046,492,1013,3,30,385
6月9日24时,1044,490,1010,3,31,405
6月8日24时,1043,489,1009,3,31,364
6月7日24时,1041,487,1009,3,29,300
6月6日24时,1040,486,1001,3,36,333
6月5日24时,1039,485,999,3,37,286
6月4日24时,1033,479,999,3,31,342
6月3日24时,1032,478,996,3,33,385
6月2日24时,1030,476,994,3,33,386
6月1日24时,1028,474,994,3,31,381
5月31日24时,1027,473,994,3,30,381
5月30日24时,1025,471,992,3,30,386
5月29日24时,1025,471,990,3,32,392
5月28日24时,1024,470,990,3,31,392
5月27日24时,1022,468,987,3,32,357
5月26日24时,1019,465,985,3,31,378
5月25日24时,1018,464,985,3,30,378
5月24日24时,1016,462,984,3,29,379
5月23日24时,1015,461,979,3,33,334
5月22日24时,1012,458,979,3,30,464
5月21日24时,1008,454,979,3,26,406
5月20日24时,1006,452,978,3,25,376
5月19日24时,1005,451,976,3,26,358
5月18日24时,1004,450,973,3,28,362
5月17日24时,1004,450,971,3,30,375
5月16日24时,1002,448,970,3,29,312
5月15日24时,1001,447,970,3,28,362
5月14日24时,1000,446,970,3,27,418
5月13日24时,999,445,968,3,28,460
5月12日24时,999,445,967,3,29,569
5月11日24时,998,444,964,3,31,569
5月10日24时,997,443,961,3,33,570
5月9日24时,993,439,959,3,31,612
5月8日24时,992,438,959,3,30,628
5月7日24时,992,438,959,3,30,547
5月6日24时,992,438,958,3,31,547
5月5日24时,992,438,956,3,33,599
5月4日24时,990,436,956,3,31,599
5月3日24时,988,434,956,3,29,543
5月2日24时,982,428,955,3,24,503
5月1日24时,981,427,955,3,23,412
4月30日24时,981,427,955,3,23,483
4月29日24时,979,425,952,3,24,431
4月28日24时,979,425,951,3,25,431
4月27日24时,978,424,951,3,24,487
4月26日24时,975,421,949,3,23,488
4月25日24时,970,416,949,3,18,454
4月24日24时,968,414,948,3,17,347
4月23日24时,968,414,948,3,17,406
4月22日24时,967,413,948,3,16,387
4月21日24时,965,411,946,3,16,389
4月20日24时,965,411,946,3,16,392
4月19日24时,964,410,944,3,17,294
4月18日24时,963,409,942,3,18,380
4月17日24时,963,409,942,3,18,359
4月16日24时,961,407,942,3,16,450
4月15日24时,959,405,942,3,14,400
4月14日24时,959,405,940,3,16,350
4月13日24时,958,404,940,3,15,345
4月12日24时,957,403,940,3,14,305
4月11日24时,955,401,933,3,19,290
4月10日24时,955,401,933,3,19,227
4月9日24时,954,400,933,3,18,318
4月8日24时,954,400,933,3,18,344
4月7日24时,954,400,933,3,18,453
4月6日24时,954,400,931,3,20,487
4月5日24时,952,398,931,3,18,437
4月4日24时,952,398,930,3,19,430
4月3日24时,949,395,930,3,16,375
4月2日24时,949,395,930,3,16,377
4月1日24时,949,395,929,3,17,377
3月31日24时,948,394,927,3,18,377
3月30日24时,948,394,923,3,22,377
3月29日24时,948,394,922,3,23,401
3月28日24时,945,391,922,3,20,421
3月27日24时,943,389,922,3,18,361
3月26日24时,941,387,922,3,16,272
3月25日24时,939,385,919,3,17,218
3月24日24时,939,385,916,3,20,183
3月23日24时,939,385,915,3,21,185
3月22日24时,938,384,910,3,25,153
3月21日24时,937,383,904,3,30,265
3月20日24时,937,383,903,3,31,247
3月19日24时,937,383,903,3,31,251
3月18日24时,937,383,900,3,34,251
3月17日24时,937,383,895,3,39,327
3月16日24时,937,383,892,3,42,362
3月15日24时,935,381,891,3,41,344
3月14日24时,929,375,891,3,35,291
3月13日24时,929,375,888,3,38,469
3月12日24时,929,375,885,3,41,475
3月11日24时,929,375,884,3,42,477
3月10日24时,927,373,882,3,42,477
3月9日24时,924,370,881,3,40,506
3月8日24时,924,370,879,3,42,459
3月7日24时,920,366,878,3,39,377
3月6日24时,918,364,878,3,37,459
